,Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
1811,1811,Intel Atom E660T,CPU,2010-09-14,45.0,3.0,26.0,47.0,1300.0,Intel,Intel
1812,1812,AMD A8-3520M,CPU,2011-12-20,32.0,35.0,228.0,1178.0,1600.0,Unknown,AMD
1813,1813,Intel Core i5-8259U,CPU,2018-04-05,14.0,28.0,123.0,,2300.0,Intel,Intel
1814,1814,AMD Athlon X2 QL-64,CPU,2008-12-01,65.0,35.0,,,2100.0,Unknown,AMD
1815,1815,Intel Core i7-620M,CPU,2010-01-07,32.0,35.0,81.0,384.0,2677.0,Intel,Intel
1816,1816,AMD Athlon 64 X2 5600+,CPU,2008-02-01,65.0,65.0,126.0,154.0,2900.0,Unknown,AMD
1817,1817,Intel Core i9-11900,CPU,2021-03-16,14.0,65.0,,,2500.0,Intel,Intel
1818,1818,AMD Sempron 2800+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD
1819,1819,Intel Core i5-3365M,CPU,2012-11-01,22.0,35.0,160.0,,2800.0,Intel,Intel
1820,1820,AMD Phenom II X3 720 BE,CPU,2009-02-09,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD
1821,1821,AMD EPYC 7252,CPU,2019-08-07,7.0,120.0,74.0,3800.0,2800.0,TSMC,AMD
1822,1822,AMD Athlon X2 BE-2300,CPU,2007-10-08,65.0,45.0,126.0,154.0,1900.0,Unknown,AMD
1823,1823,Intel Core i7-4771,CPU,2013-09-01,22.0,84.0,177.0,1400.0,3500.0,Intel,Intel
1824,1824,Intel Pentium D 955 EE,CPU,2006-01-16,65.0,130.0,140.0,376.0,3460.0,Intel,Intel
1825,1825,Intel Core i7-4712HQ,CPU,2014-04-01,22.0,37.0,264.0,1400.0,2300.0,Intel,Intel
1826,1826,AMD Sempron 3000+,CPU,2005-02-15,130.0,62.0,144.0,69.0,1800.0,Unknown,AMD
1827,1827,Intel Xeon 3.0,CPU,2005-02-14,90.0,135.0,169.0,178.0,3000.0,Intel,Intel
1828,1828,Intel Core i5-2430M,CPU,2011-10-01,32.0,35.0,149.0,624.0,2400.0,Intel,Intel
1829,1829,Intel Xeon Gold 5320H,CPU,2021-04-06,14.0,150.0,,,2400.0,Intel,Intel
1830,1830,AMD Athlon 64 X2 5400+,CPU,2008-01-01,65.0,65.0,126.0,154.0,2800.0,Unknown,AMD
1831,1831,AMD A6-4400M,CPU,2012-05-15,32.0,35.0,246.0,1178.0,2700.0,Unknown,AMD
1832,1832,AMD Ryzen 5 4600G,CPU,2020-07-21,7.0,65.0,,,3700.0,TSMC,AMD
1833,1833,Intel Xeon Gold 6354,CPU,2021-04-06,10.0,205.0,,,3000.0,Intel,Intel
1834,1834,AMD Ryzen 7 PRO 2700U,CPU,2017-10-26,14.0,15.0,246.0,,2200.0,GF,AMD
1835,1835,Intel Xeon Platinum 8380HL,CPU,2021-04-06,14.0,250.0,,,2900.0,Intel,Intel
1836,1836,AMD Athlon 64 X2 5000+ BE,CPU,2007-09-25,65.0,65.0,126.0,154.0,2600.0,Unknown,AMD
1837,1837,AMD E1-2500,CPU,2013-05-23,32.0,15.0,246.0,1178.0,1400.0,Unknown,AMD
1838,1838,AMD Opteron X2 890,CPU,2006-03-06,90.0,95.0,,233.0,2800.0,Unknown,AMD
